playerID,year,firstName,lastName,pos,tmID,GP,G,A,Pts,SOG
crossdo01,1980,Doug,Crossman,D,CHI,9.0,0.0,2.0,2.0,16.0
crowdke01,1980,Keith,Crowder,R,BOS,47.0,13.0,12.0,25.0,69.0
cunnera01,1980,Randy,Cunneyworth,L,BUF,1.0,0.0,0.0,0.0,1.0
currigl01,1980,Glen,Currie,C,WAS,40.0,5.0,13.0,18.0,52.0
currito01,1980,Tony,Currie,R,STL,61.0,23.0,32.0,55.0,112.0
curtato01,1980,Tony,Curtale,D,CAL,2.0,0.0,0.0,0.0,4.0
cyrde01,1980,Denis,Cyr,R,CAL,10.0,1.0,4.0,5.0,10.0
dailebo01,1980,Bob,Dailey,D,PHI,53.0,7.0,27.0,34.0,141.0
daleypa01,1980,Pat,Daley,L,WIN,7.0,0.0,0.0,0.0,4.0
davidjo01,1980,John,Davidson,G,NYR,10.0,0.0,1.0,1.0,0.0
daviski01,1980,Kim,Davis,C,PIT,8.0,1.0,0.0,1.0,2.0
daviski01,1980,Kim,Davis,C,TOR,2.0,0.0,0.0,0.0,2.0
davisma01,1980,Mal,Davis,R,DET,5.0,2.0,0.0,2.0,12.0
deblolu01,1980,Lucien,DeBlois,F,COR,74.0,26.0,16.0,42.0,183.0
debolda01,1980,Dave,Debol,C,HAR,44.0,14.0,12.0,26.0,70.0
delorro01,1980,Ron,Delorme,R,COR,65.0,11.0,16.0,27.0,65.0
derlabi01,1980,Bill,Derlago,C,TOR,80.0,35.0,39.0,74.0,208.0
dilloga01,1980,Gary,Dillon,C,COR,13.0,1.0,1.0,2.0,15.0
dionmi01,1980,Michel,Dion,G,QUE,12.0,0.0,1.0,1.0,0.0
dionmi01,1980,Michel,Dion,G,WIN,14.0,0.0,0.0,0.0,0.0
dionnma01,1980,Marcel,Dionne,C,LAK,80.0,58.0,77.0,135.0,342.0
doakga01,1980,Gary,Doak,D,BOS,11.0,0.0,0.0,0.0,4.0
dobsoji01,1980,Jim,Dobson,F,MNS,1.0,0.0,0.0,0.0,0.0
dorean01,1980,Andre,Dore,D,NYR,15.0,1.0,3.0,4.0,15.0
