month,name,L,OL,T,W
1981-03,Philadelphia Flyers,5.0,,4.0,5.0
1981-11,Philadelphia Flyers,8.0,,0.0,4.0
1981-10,Philadelphia Flyers,2.0,,1.0,8.0
1981-04,Pittsburgh Penguins,0.0,,0.0,2.0
1981-12,Pittsburgh Penguins,7.0,,2.0,4.0
1981-02,Pittsburgh Penguins,8.0,,2.0,3.0
1981-01,Pittsburgh Penguins,8.0,,2.0,5.0
1981-03,Pittsburgh Penguins,5.0,,3.0,5.0
1981-11,Pittsburgh Penguins,1.0,,2.0,7.0
1981-10,Pittsburgh Penguins,7.0,,2.0,5.0
1981-04,Quebec Nordiques,1.0,,0.0,2.0
1981-12,Quebec Nordiques,5.0,,1.0,5.0
1981-02,Quebec Nordiques,3.0,,5.0,4.0
1981-01,Quebec Nordiques,5.0,,3.0,6.0
1981-03,Quebec Nordiques,7.0,,3.0,2.0
1981-11,Quebec Nordiques,4.0,,4.0,7.0
1981-10,Quebec Nordiques,6.0,,0.0,7.0
1981-04,St. Louis Blues,1.0,,0.0,1.0
1981-12,St. Louis Blues,4.0,,0.0,10.0
1981-02,St. Louis Blues,9.0,,1.0,3.0
1981-01,St. Louis Blues,6.0,,0.0,6.0
1981-03,St. Louis Blues,7.0,,3.0,4.0
1981-11,St. Louis Blues,7.0,,2.0,4.0
1981-10,St. Louis Blues,6.0,,2.0,4.0
1981-04,Toronto Maple Leafs,2.0,,0.0,0.0
1981-12,Toronto Maple Leafs,5.0,,3.0,5.0
1981-02,Toronto Maple Leafs,8.0,,3.0,1.0
1981-01,Toronto Maple Leafs,7.0,,4.0,5.0
1981-03,Toronto Maple Leafs,10.0,,0.0,3.0
1981-11,Toronto Maple Leafs,6.0,,4.0,3.0
1981-10,Toronto Maple Leafs,6.0,,2.0,3.0
1981-04,Vancouver Canucks,0.0,,0.0,2.0
1981-12,Vancouver Canucks,7.0,,4.0,3.0
1981-02,Vancouver Canucks,3.0,,3.0,7.0
1981-01,Vancouver Canucks,7.0,,3.0,3.0
1981-03,Vancouver Canucks,6.0,,3.0,4.0
1981-11,Vancouver Canucks,5.0,,1.0,7.0
1981-10,Vancouver Canucks,5.0,,3.0,4.0
1981-04,Washington Capitals,0.0,,0.0,2.0
1981-12,Washington Capitals,9.0,,1.0,4.0
1981-02,Washington Capitals,6.0,,1.0,6.0
1981-01,Washington Capitals,5.0,,5.0,4.0
1981-03,Washington Capitals,6.0,,4.0,4.0
1981-11,Washington Capitals,4.0,,2.0,5.0
1981-10,Washington Capitals,11.0,,0.0,1.0
1981-04,Winnipeg Jets,2.0,,0.0,0.0
1981-12,Winnipeg Jets,9.0,,4.0,3.0
1981-02,Winnipeg Jets,5.0,,2.0,3.0
1981-01,Winnipeg Jets,4.0,,3.0,6.0
1981-03,Winnipeg Jets,4.0,,1.0,11.0
1981-11,Winnipeg Jets,6.0,,2.0,5.0
1981-10,Winnipeg Jets,3.0,,2.0,5.0
1982-04,Boston Bruins,1.0,,1.0,0.0
1982-12,Boston Bruins,2.0,,1.0,10.0
1982-02,Boston Bruins,4.0,,0.0,8.0
1982-01,Boston Bruins,1.0,,2.0,10.0
1982-03,Boston Bruins,5.0,,1.0,9.0
1982-11,Boston Bruins,3.0,,2.0,8.0
1982-10,Boston Bruins,4.0,,3.0,5.0
1982-04,Buffalo Sabres,1.0,,0.0,0.0
1982-12,Buffalo Sabres,5.0,,3.0,5.0
1982-02,Buffalo Sabres,5.0,,3.0,5.0
1982-01,Buffalo Sabres,4.0,,2.0,8.0
1982-03,Buffalo Sabres,6.0,,1.0,8.0
1982-11,Buffalo Sabres,3.0,,1.0,8.0
1982-10,Buffalo Sabres,5.0,,3.0,4.0
1982-04,Calgary Flames,0.0,,1.0,0.0
1982-12,Calgary Flames,7.0,,2.0,5.0
1982-02,Calgary Flames,5.0,,2.0,5.0
1982-01,Calgary Flames,5.0,,0.0,7.0
1982-03,Calgary Flames,4.0,,4.0,6.0
1982-11,Calgary Flames,6.0,,3.0,5.0
1982-10,Calgary Flames,7.0,,2.0,4.0
1982-04,Chicago Black Hawks,1.0,,0.0,1.0
1982-12,Chicago Black Hawks,4.0,,1.0,9.0
1982-02,Chicago Black Hawks,3.0,,2.0,7.0
1982-01,Chicago Black Hawks,7.0,,1.0,6.0
1982-03,Chicago Black Hawks,5.0,,1.0,8.0
1982-11,Chicago Black Hawks,1.0,,1.0,10.0
1982-10,Chicago Black Hawks,2.0,,4.0,6.0
1982-04,Detroit Red Wings,1.0,,0.0,1.0
1982-12,Detroit Red Wings,3.0,,5.0,6.0
1982-02,Detroit Red Wings,6.0,,2.0,5.0
1982-01,Detroit Red Wings,8.0,,1.0,3.0
1982-03,Detroit Red Wings,10.0,,1.0,3.0
1982-11,Detroit Red Wings,8.0,,5.0,0.0
1982-10,Detroit Red Wings,8.0,,1.0,3.0
1982-04,Edmonton Oilers,0.0,,1.0,1.0
1982-12,Edmonton Oilers,3.0,,2.0,8.0
1982-02,Edmonton Oilers,4.0,,1.0,6.0
1982-01,Edmonton Oilers,3.0,,2.0,10.0
1982-03,Edmonton Oilers,2.0,,0.0,11.0
1982-11,Edmonton Oilers,3.0,,3.0,7.0
1982-10,Edmonton Oilers,6.0,,3.0,4.0
1982-04,Hartford Whalers,2.0,,0.0,0.0
1982-12,Hartford Whalers,8.0,,2.0,5.0
1982-02,Hartford Whalers,10.0,,0.0,3.0
1982-01,Hartford Whalers,10.0,,1.0,3.0
1982-03,Hartford Whalers,10.0,,1.0,3.0
1982-11,Hartford Whalers,8.0,,1.0,3.0
1982-10,Hartford Whalers,6.0,,2.0,2.0
1982-04,Los Angeles Kings,0.0,,1.0,1.0
1982-12,Los Angeles Kings,9.0,,2.0,3.0
1982-02,Los Angeles Kings,3.0,,3.0,7.0
1982-01,Los Angeles Kings,9.0,,2.0,2.0
1982-03,Los Angeles Kings,11.0,,1.0,3.0
1982-11,Los Angeles Kings,5.0,,0.0,6.0
1982-10,Los Angeles Kings,4.0,,3.0,5.0
1982-04,Minnesota North Stars,1.0,,0.0,0.0
